# Figure 4 data: routing-specific monthly fee modelled from published Google Cloud list prices.
# Modelled, not measured: N-Dynamic = ceil(n/8) x $54.75 NCC spoke; N-Cloud = flat $73.00 GKE fee; N-Static = $0.
figure,config,nodes,fee,unit
4,N-Static,183,0.0,USD/month
4,N-Dynamic,184,1259.25,USD/month
4,N-Cloud,184,73.0,USD/month
4,N-Static,184,0.0,USD/month
4,N-Dynamic,185,1314.0,USD/month
4,N-Cloud,185,73.0,USD/month
4,N-Static,185,0.0,USD/month
4,N-Dynamic,186,1314.0,USD/month
4,N-Cloud,186,73.0,USD/month
4,N-Static,186,0.0,USD/month
4,N-Dynamic,187,1314.0,USD/month
4,N-Cloud,187,73.0,USD/month
4,N-Static,187,0.0,USD/month
4,N-Dynamic,188,1314.0,USD/month
4,N-Cloud,188,73.0,USD/month
4,N-Static,188,0.0,USD/month
4,N-Dynamic,189,1314.0,USD/month
4,N-Cloud,189,73.0,USD/month
4,N-Static,189,0.0,USD/month
4,N-Dynamic,190,1314.0,USD/month
4,N-Cloud,190,73.0,USD/month
4,N-Static,190,0.0,USD/month
4,N-Dynamic,191,1314.0,USD/month
4,N-Cloud,191,73.0,USD/month
4,N-Static,191,0.0,USD/month
4,N-Dynamic,192,1314.0,USD/month
4,N-Cloud,192,73.0,USD/month
4,N-Static,192,0.0,USD/month
4,N-Dynamic,193,1368.75,USD/month
4,N-Cloud,193,73.0,USD/month
4,N-Static,193,0.0,USD/month
4,N-Dynamic,194,1368.75,USD/month
4,N-Cloud,194,73.0,USD/month
4,N-Static,194,0.0,USD/month
4,N-Dynamic,195,1368.75,USD/month
4,N-Cloud,195,73.0,USD/month
4,N-Static,195,0.0,USD/month
4,N-Dynamic,196,1368.75,USD/month
4,N-Cloud,196,73.0,USD/month
4,N-Static,196,0.0,USD/month
4,N-Dynamic,197,1368.75,USD/month
4,N-Cloud,197,73.0,USD/month
4,N-Static,197,0.0,USD/month
4,N-Dynamic,198,1368.75,USD/month
4,N-Cloud,198,73.0,USD/month
4,N-Static,198,0.0,USD/month
4,N-Dynamic,199,1368.75,USD/month
4,N-Cloud,199,73.0,USD/month
4,N-Static,199,0.0,USD/month
4,N-Dynamic,200,1368.75,USD/month
4,N-Cloud,200,73.0,USD/month
4,N-Static,200,0.0,USD/month
